review_content,final_label,DeepSeek,Gemini (flash 2.0 ),ChatGPT
"Ive been a member of Facebook since the death of my space . I was recently banned for posting something in Messenger in a private group of friends. They removed my accounts form messenger, Facebook and Instagram.  I lost everything. Because of their Community standards of spying on private chat groups . Lost all of my pictures from over a decade as well as logins to third party apps and mobile games  which I invested time and money .  Im Contacting my attorney . This is not the last Facebook will hear from me !",2,"As a long-time user unfairly banned and losing access to my accounts, data, and third-party app connections, I want a fair review process for bans, clear communication about violations, and the ability to recover my data and connections, so that I do not lose years of memories, investments, and important relationships due to overly strict or opaque enforcement of community standards.","As a long-time user, I want Facebook to respect the privacy of private group chats and to avoid banning accounts based on content shared within them.  I was recently banned, losing access to my Facebook, Messenger, and Instagram accounts, including years of photos and logins to third-party apps and games in which I invested time and money, all because of a post in a private Messenger group. I believe this is an invasion of privacy and an unjustifiable overreach, and I'm pursuing legal action.","As a long-time Facebook user,
I want Facebook to respect privacy in private messages and provide a transparent appeal process for account bans,
so that I don’t lose years of personal memories, app logins, and financial investments without due process"
"Constantly mutes the voices of activists. No real system to challenge accusations of community standards violations, allows racism on its platform but blocks, warns and mutes the activists who point it out. Awful privacy violations and generally a crap service. 

If I could write this review and give zero stars I would.",1,"As a user and activist who relies on social media to advocate for important causes, I want a fair and transparent moderation system that does not silence marginalized voices or allow harmful content like racism to thrive, so that I can freely express my views and hold the platform accountable for its policies without fear of being muted or blocked.","As a user and activist, I want Facebook to stop silencing activist voices and to implement a fair and transparent system for challenging accusations of community standards violations. I'm concerned that Facebook allows racism on its platform while simultaneously censoring those who call it out. I'm also deeply concerned about the platform's privacy violations and overall poor service. I would rate it zero stars if possible.","As an activist and Facebook user,
I want a transparent and effective moderation system with a clear and accessible appeals process,
so that important discussions and advocacy efforts are not unfairly silenced while harmful content is properly addressed."
"Ive noticed that when I post a status, I can no longer edit it after its posted that option is no longer available. So I cant fix an error or add a photo or change anything once its posted. This is ridiculous and annoying. I can still edit privacy, trash the post, archive it, but the edit post option is no longer there. Ugh. Why update the app if there are more glitches and nonsensical changes like removing an edit post option.",2,"As a Facebook user who frequently posts status updates, I want the ability to edit my posts after they are published, so that I can correct errors, add photos, or make changes without having to delete and repost.","As a user, I want Facebook to restore the ability to edit posts after they've been published.  The ""edit post"" option has disappeared, preventing me from correcting errors, adding photos, or making any changes after posting.  While other options like privacy settings, deleting, and archiving are still available, the crucial editing function is missing. I find this removal ridiculous and annoying, and I question the value of updates that introduce glitches and remove useful features.","As a Facebook user,
I want the ability to edit my posts after they are published,
so that I can correct errors, add missing content, or update information without needing to delete and repost."
Looks like Facebook is tracking every move I make even though I stated and turned off all tracing and tracking procedure that telling me to do but still being tracked off Facebook even on safari they can trace every move I do. And there is no freedom of speech or an opinion all censored,2,"As a privacy-conscious Facebook user, I want complete control over my data and the ability to express my opinions without censorship, so that I can use the platform without feeling monitored or silenced.","As a user concerned about privacy and freedom of speech, I want Facebook to respect my privacy settings and stop tracking my activity outside of Facebook, including on Safari, even after I've disabled tracking. I also want Facebook to stop censoring opinions and allow for free speech on the platform.  I believe my privacy is being violated and my right to express myself is being suppressed.","As a Facebook user concerned about privacy and free speech,
I want to ensure that when I disable tracking, my activity is not monitored across other sites or browsers, and my opinions are not unfairly censored,
so that I can have control over my personal data and express myself freely without undue restrictions."
"They spy on you Deny free speech Censor opinions, and facts. If you like having your Constitutional rights violated, your information being sold to third parties, liberal propaganda. Being monitored by over sensitive nazis then fascistbook is for you.",2,"As a user concerned about free speech, privacy, and fair content moderation, I want a platform that respects my constitutional rights, avoids intrusive monitoring, and provides transparent and unbiased enforcement of policies, so that I can express my opinions and access information without fear of censorship, surveillance, or unfair treatment.","As a user concerned about privacy, freedom of speech, and political bias, I want Facebook to stop spying on me, denying me free speech, and censoring my opinions and factual information. I believe Facebook violates my constitutional rights, sells my information to third parties, promotes liberal propaganda, and employs overly sensitive and fascistic moderators.  I want Facebook to respect my rights and stop these practices.","As a Facebook user concerned about privacy and free speech,
I want Facebook to respect my constitutional rights by ensuring that my data is not sold to third parties, my opinions are not censored, and content is moderated fairly without bias,
so that I can enjoy a safe and unbiased platform that respects my privacy and freedom of expression."
So I think its suspicious that whenever I have Facebook installed on my phone the apps that I use the most stop working. The zuck also made it so he can spy on what you search on other apps so he can sell your information. So it doesnt surprise me that he disables other apps so youre forced to use Facebook now that everyone else is leaving it.,2,"As a user who values the functionality of my apps and my privacy, I want Facebook to operate transparently and ethically without interfering with other apps or exploiting my data, so that I can use my preferred apps without disruption and trust that my personal information is not being sold or misused.","As a user, I'm suspicious that having Facebook installed on my phone is interfering with the functionality of other apps I use frequently. I'm also concerned about Facebook's alleged practice of spying on user searches within other apps for data-selling purposes. I suspect Facebook might be intentionally disabling other apps to force users to stay on their platform, especially given the ongoing user exodus.","As a Facebook user concerned about app performance and privacy,
I want Facebook to ensure it does not interfere with the functionality of other apps and stop tracking my activity across other platforms,
so that I can use all my apps seamlessly without feeling like my data is being sold or misused.
"
"im guessing they have such a monopoly on social media that the company and developers have nearly no incentive to fix anything. ive had the same exact bugs persist across devices an major OS updates. 

ones I can recall atm that frustrate me to no end
video resets every time I rotate the screen
opening facebook kills my background audio
no dark mode on ipad not a bug, just a complaint

this company makes billions of the data we provide to them for free, the least they can do is make an app that freaking works well and have their developers on top of keeping the app a pleasant experience with minimal bugs. if you need to hire more developers, then do that",2,"As a frustrated Facebook user, I want a stable, well-functioning app with consistent features across all devices, so that I can enjoy a seamless and pleasant experience without persistent bugs or missing functionality.","As a user, I'm frustrated by the persistent bugs in the Facebook app that remain unfixed across devices and OS updates, likely due to the company's perceived monopoly and lack of incentive to improve.  Specific issues include video playback resetting on screen rotation, Facebook interrupting background audio, and the lack of dark mode on iPad (though acknowledged as a design choice, it's still a negative point). I believe a multi-billion dollar company should invest more in app development to provide a pleasant, bug-free user experience. I suggest they hire more developers if needed to address these long-standing issues.","As a Facebook user frustrated by persistent bugs and lack of app enhancements,
I want Facebook to fix ongoing issues with video playback, background audio, and app compatibility across devices,
so that I can enjoy a smoother, more reliable experience with minimal disruptions."
Is the app incredibly glitchy even though it really shouldnt be? Yes. Will Facebook steal all data they could possibly obtain and sell it without your consent? Yes. Will they pretend to be a quirky tech company from Cali while actually subverting democracy and monopolizing the internet? Yes. But what else are you gonna do? Find a social media company with integrity? I didnt think so.,2,"As a user frustrated with glitchy app performance, invasive data practices, and lack of ethical accountability, I want a stable, privacy-respecting, and transparent platform that prioritizes user trust over profit, so that I can use social media without compromising my data, experiencing constant technical issues, or supporting unethical practices.","As a user, I acknowledge the Facebook app is glitchy, that the company steals and sells user data without consent, and that they engage in anti-democratic practices and monopolization.  While I recognize these issues, I also feel trapped by the lack of viable alternatives, as other social media companies are perceived to lack integrity as well.","As a Facebook user frustrated by glitches and privacy violations,
I want Facebook to fix the app's performance issues, ensure user data privacy, and stop selling user data without consent,
so that I can use the app without constant glitches and feel confident that my personal information is protected."
Was scrolling through my news feed and all of a sudden it sends me a message saying I have to verify my personal info. It asks for a passcode that was sent to my phone only I never received a passcode. I am now locked out.,2,"As a user who relies on Facebook to stay connected, I want a reliable and functional account verification process that does not lock me out unexpectedly, so that I can regain access to my account quickly and continue using the platform without disruption.","As a user, I want Facebook's account verification process to be reliable and not lock me out of my account unnecessarily.  While scrolling my newsfeed, I was suddenly prompted to verify my personal information and asked for a passcode that was never sent to my phone, resulting in me being locked out of my account. I need a way to bypass this broken verification process and regain access.","As a Facebook user who was unexpectedly locked out of my account,
I want a reliable and functional process for verifying my personal information,
so that I can regain access to my account without encountering issues such as missing passcodes."
"I am so disappointed with Facebook! I never post anything controversial, yet my Facebook was disabled a little over a week ago and now I received an email that it has been permanently disabled! Ive lost all my pictures and videos. Ive also lost access and information to every app that was connected to Facebook. FYI, when you create accounts for other apps, dont use your Facebook account to log in to those.",2,"As a user whose account was unfairly and permanently disabled, I want a fair and transparent review process to restore my account and recover my lost data, so that I do not lose years of memories, connections, and access to third-party apps due to an unjust decision.","As a user, I'm extremely disappointed that my Facebook account, which I used responsibly and never posted controversial content on, was first disabled and then permanently disabled.  This has resulted in the loss of all my photos and videos, as well as access and information from every other app connected to my Facebook account.  I want Facebook to provide a clearer explanation for the permanent disabling and a way to potentially recover my data.  I also learned a valuable lesson about not using Facebook to log into other apps.","As a Facebook user who has experienced an unexpected account suspension,
I want a clear and fair process for reinstating my account or retrieving my data,
so that I do not lose my photos, videos, and access to other apps linked to my Facebook account without proper resolution."
"This app was okay in the beginning but has become a tyrant in the industry. Constantly gets hacked, sells our info, no privacy or security. My app has been on the fritz again all week causing me to miss business ad posts due to not even being able to see content on my profile. Super tired of Zuckerberg and his complicity in completely disregarding everything its users want. Cant wait for the next big thing to come out. Cause this one is definitely not it anymore!",2,"As a long-time user and business owner who relies on the platform for advertising and engagement, I want a secure, reliable, and user-focused social media experience, so that I can trust the platform with my data, run my business effectively, and feel valued as a user.","As a user, I'm frustrated with Facebook's numerous issues, including frequent hacking incidents, the selling of user data, and a complete lack of privacy and security.  My app has been malfunctioning all week, causing me to miss important business ad posts. I'm tired of Facebook's disregard for user feedback and its focus on profit over user experience. I'm looking forward to a new social media platform that prioritizes user needs and privacy.","As a business user experiencing repeated technical issues and privacy concerns,
I want Facebook to enhance its privacy, security, and app stability,
so that I can continue to use the platform reliably for business purposes without compromising my data or security."
I can only use my Facebook App as my business and can no longer get to my personal page. I am not happy about that. Facebook still works fine on my desktop and my laptop so it is definitely the app that is the problem,2,"As a Facebook user who manages both a personal profile and a business page, I want to easily switch between my personal and business accounts on the Facebook app, so that I can access and manage both without being locked into one or the other.","As a user, I want the Facebook app to allow me to switch between my business page and my personal profile, as I can on the desktop and laptop versions. Currently, the app only allows me to access my business page, and I'm unable to access my personal profile through the app.  This is a problem specific to the app, as both profiles are accessible via other devices.","As a user who relies on Facebook for both personal and business purposes,
I want to be able to access both my personal page and business account seamlessly within the app,
so that I can manage all my Facebook activities in one place without being restricted to only one account."
"I opened my account in 2008. I got a new phone and rye app said it could recognize my device. Wouldnt even accept my password. Sent them my license and picture holding the date and a video they requested. Its been 5 months and still no access to my account and no responses from facebook. Theyve since closed my account. I had all my dead fathers posts and photos on there. Im very upset and annoyed at Facebook. They say they try to protect your information yet they steal yours!!!

Also that censor anyone who doesnt align with their agenda. They cant be trusted.",2,"As a long-time user with irreplaceable memories stored on the platform, I want an efficient and responsive account recovery process and a platform that respects my data and opinions, so that I can regain access to my account, preserve my memories, and trust the platform to operate fairly and transparently.","As a long-time user since 2008, I want Facebook to provide a functional and responsive account recovery process. Despite providing all requested verification (license, photo, video), my account, containing irreplaceable memories of my deceased father, has been inaccessible for five months, and Facebook has closed it without any response. I'm extremely upset by this loss and the lack of support.  I also believe Facebook's data protection claims are hypocritical, as they appear to be stealing user data. Additionally, I'm concerned about their censorship practices against those who don't align with their agenda and their general untrustworthiness.","As a long-time Facebook user who has lost access to my account,
I want a more responsive and efficient account recovery process,
so that I can regain access to my account, including important memories and personal content, and avoid unnecessary account closures."
"Far too many ads, which are completely irrelevant to me. One would think with data collection Facebook would at least, send me ads Im interested in. The Marketplace  is useless. Most of the groups are angry people searching for like minded individuals who will mimic their complaints. And, yes, some children are still posting their food. 

Bad app, very bad app.",2,"As a Facebook user, I want a more personalized and engaging experience with relevant ads, a functional Marketplace, and meaningful group interactions, so that I can enjoy the platform without feeling overwhelmed by irrelevant content or negativity.","As a user, I want Facebook to significantly reduce the number of ads and, more importantly, make them relevant to my interests. I find the current ads completely irrelevant, which is ironic considering the amount of data Facebook collects.  I also find the Marketplace useless due to the prevalence of complaint-focused groups, and I'm tired of seeing children posting photos of their food.  Overall, I consider the app to be poorly designed and implemented.","As a Facebook user,
I want to see fewer irrelevant ads and a more effective Marketplace and group experience,
so that my time on the platform is more enjoyable, engaging, and relevant to my interests."
"So is Apple! Now they make it so you have to use the apps and not the browsers, easier tracking and spying. Unfortunately so many things and people use FB and other crappy platforms that limit your use and spy on you. Our world is doomed because of this trash and for allowing it to continue you get reap what you sow.",1,"As a user concerned about invasive tracking, limited functionality, and the monopolistic control of platforms like Facebook and Apple, I want privacy-respecting alternatives and transparent practices from tech companies, so that I can use technology without compromising my privacy, freedom, or access to essential services.","As a user concerned about privacy and limited choice, I believe both Facebook and Apple are contributing to increased tracking and spying by pushing users towards apps instead of browsers.  I'm frustrated by the reliance on these platforms, despite their flaws, because so many people and services use them. I feel this situation is detrimental to society and that those responsible will face consequences.","As a privacy-conscious Facebook user,
I want the ability to access Facebook and its features through web browsers without being forced to use the app,
so that I can maintain control over my data, reduce tracking, and protect my privacy."
This app is the worse. Its create with the porpoise of tracking you and see what or who you talk with. This type of app it should be often changing of developer and app platform to the people have a little bit mor me of privacy,2,"As a user, I want better privacy protections so that my personal data and conversations are not tracked or exploited by the app.","As a user concerned about privacy, I believe this app is designed primarily for tracking and surveillance. I want this type of app to be developed with more focus on user privacy, including regular changes in developers and app platforms to minimize tracking capabilities and enhance user control over their data.","As a privacy-conscious Facebook user,
I want better control over how my data is collected, stored, and shared,
so that I can use the platform without feeling constantly tracked or monitored."
"Its worst designed application with zero privacy consideration, randomly engineered app, Sad to say zuckerberg major part of life was on creating amp supporting childish app. Fking zuckerberg for creating many privacy damages.",1,"As a user, I want a well-designed application with strong privacy considerations so that I can trust the platform with my information.","As a user concerned about privacy and app design, I believe Facebook is poorly designed with zero consideration for user privacy. I consider it a randomly engineered and childish app, and I blame Zuckerberg for creating and supporting it, citing him as a major source of privacy damage.","As a privacy-conscious user,
I want Facebook to prioritize user privacy and implement a well-structured, thoughtfully engineered app,
so that I can feel secure while using the platform without concerns about data misuse or poor design choices."
My account was hacked and Facebook deleted it. I lost all the pictures I had of my child. Contacted Facebook and they did absolutely nothing despite the fact that the hacker private messaged me and made legitimate threats to me. Facebook didnt even respond to me.,1,"As a user, I want reliable account recovery and support when my account is hacked so that I don’t lose access to important memories like photos of my child.","As a user whose account was hacked and subsequently deleted, I want Facebook to provide better support and take action when user accounts are compromised.  My account, containing irreplaceable photos of my child, was deleted after being hacked, even though the hacker sent me threatening private messages.  Despite contacting Facebook, I received no response or assistance.  I need a way to recover my account and data, and I want Facebook to take threats and account security seriously.","As a Facebook user,
I want a reliable account recovery process and responsive customer support,
so that I can regain access to my hacked account and recover personal data, especially irreplaceable photos and messages.
"
"All you do is silence anyone who speaks against your FAILED narrative, and then badger people by shutting down their accounts which is their source of revenue. I think its time we shut off access to your source of revenue so you can see exactly how it feels! We are DONE letting you mine our data for free! Your dream of smart cities is about to be flushed down el toileto ",2,"As a user, I want fair treatment and transparency in content moderation so that my account is not unjustly silenced or shut down, affecting my source of revenue.","As a user concerned about censorship and data exploitation, I want Facebook to stop silencing dissenting opinions and shutting down accounts, which often serve as a source of income for users. I believe Facebook's narrative is failing and that they are unfairly targeting those who disagree.  I propose a boycott to cut off their revenue stream as a form of protest against their practices. I'm also against Facebook's ""smart cities"" concept and want to see it fail.","As a Facebook user,
I want fair content moderation policies that do not disproportionately silence dissenting opinions,
so that I can freely express my views without the risk of account suspension or revenue loss."
"I keep getting the same spam bots on my Facebook telling me Im the winner, Im reported it and Ive blocked every bot, its the same profile picture on each of the spam bots page. Also Ive been getting notifications from random garage sale groups Im not even apart of",2,"As a user, I want effective spam and bot detection so that I am not constantly harassed by fake accounts and irrelevant group notifications.","As a user, I want Facebook to improve its spam filtering to prevent the same spam bots from repeatedly messaging me about winning contests, even after I report and block them. I also want to stop receiving notifications from random groups (like garage sale groups) that I haven't joined and have no interest in.","As a Facebook user,
I want better spam detection and notification management,
so that I can avoid repeated scam bots and unwanted group notifications."
"Pictures will not open also

Between the privacy violations, the unjust property theft of any and all content accessed, and now the biased, blatant sensorship Im DONE with Facebook! Uninstalled for good! Facebook has continually and increasingly pushed steps towards invading the users privacy and rights to speech for YEARS now with NOTHING being done to stop it and Im DONE. I wouldnt even be writing this if it werent for the fact that this app DESERVES far more poor ratings.",2,"As a user, I want the app to function properly, including opening pictures, and to respect my privacy and freedom of speech so that I can use the platform without frustration or fear of censorship.","As a user, I'm frustrated that pictures are not opening on the platform.  Combined with Facebook's privacy violations, the unjust appropriation of user content, and biased censorship, I've decided to uninstall the app permanently.  I believe Facebook has consistently and increasingly invaded user privacy and freedom of speech for years, and I'm finally done with the platform. I'm only writing this review because I believe the app deserves even more negative ratings.","As a Facebook user,
I want my pictures to open properly, my content to remain my property, and fair content moderation without bias,
so that I can use the platform without frustration, privacy concerns, or censorship."
"Seriously Facebook. Your new changes just get worse and worse. Too many ads. Every time I log in, I just want to close it and deal with it later. And the ads are just useless, not even slightly interesting. I find myself spending less and less time on your platform. Stop trying to pretend you actually care about privacy or connecting people.",2,"As a user, I want an end to biased censorship and privacy violations so that I can trust the platform to respect my rights and content ownership.","As a user, I want Facebook to reduce the number of ads and make them more relevant to my interests. The excessive and irrelevant ads are making me want to leave the platform. I find myself spending less time on Facebook due to this and I no longer believe their claims about caring about privacy or connecting people.","As a Facebook user,
I want fewer and more relevant ads, along with an improved user experience,
so that I can enjoy using the platform without feeling overwhelmed or frustrated."
"How come we still can39t see our timeline on the iPad?!?!? This should be the most amazing app ever!

UPDATE This company makes me sad, I was hacked last night and there has been zero way to restore my account. The hackers quickly within an hour changed all my info and added a 3rd party two factor authentication code that prevents me from moving past it . Your company is protecting the hackers and do not care about the actual account holder. Please make this right.",2,"As a user, I want full functionality across all devices, including iPad, and better account security measures to prevent hackers from taking over my account.","As an iPad user, I want Facebook to restore the ability to view my timeline on the iPad app.  This basic functionality should be a core feature.  Furthermore, my account was recently hacked, and the hackers changed all my information and added a third-party two-factor authentication, locking me out. I'm extremely disappointed that there's no effective way to restore my account, and I feel Facebook is prioritizing the hackers over the actual account holder. I need Facebook to rectify this situation and provide a way to recover my account.","As a Facebook user,
I want to be able to see my timeline on the iPad and restore my hacked account easily,
so that I can have a seamless experience and feel secure knowing my account is protected."
"Facebook has lots of issues even for our safety at this point we are all thinking is mark suckerburgh really help our privacy or just sucking our privacy away by putting our global security at risk with problematic safety concerns 100 but Facebook needs to hear us out and not from mark Zuckerberg immature ideas and fixes to Facebooks interface, algorithms, updates, ect. so Im giving this app and website including Facebook Messenger a one star ",2,"As a user, I want Facebook to prioritize user safety and privacy over profit so that I feel secure using the platform without worrying about global security risks.","As a user concerned about safety and privacy, I want Facebook to address the numerous issues that put our global security at risk. I question whether Mark Zuckerberg is genuinely protecting our privacy or actively compromising it. I want Facebook to listen to its users and implement solutions based on our feedback, not just Zuckerberg's ideas and immature fixes to the platform's interface, algorithms, and updates.  Therefore, I'm giving Facebook, its website, and Messenger a one-star rating.","As a Facebook user,
I want Facebook to prioritize user privacy and security while addressing concerns about its interface, algorithms, and updates,
so that I can feel safe using the platform without fearing for my personal data or security."
"Facebook has lots of issues even for our safety at this point we are all thinking is mark suckerburgh really help our privacy or just sucking our privacy away by putting our global security at risk with problematic safety concerns 100 but Facebook needs to hear us out and not from mark Zuckerberg immature ideas and fixes to Facebooks interface, algorithms, updates, ect. so Im giving this app and website including Facebook Messenger a one star ",2,"As a user, I want Facebook to listen to user feedback and implement meaningful fixes to its interface, algorithms, and updates so that the platform improves and meets our needs.","As a user, I want Facebook to respect my notification settings and stop sending notifications when alerts are turned off. I'm also deeply concerned about the app's privacy issues and constant spying. I'm annoyed by the persistent requests for my phone number and the inability to disable the green ""active"" status indicator, even when I've chosen to turn it off.  Overall, I find the app's behavior intrusive and disrespectful of user choices.","As a Facebook user,
I want full control over my notifications, privacy settings, and online status visibility,
so that I can have a more private and less intrusive experience on the platform.
"
Maybe stop infringing on peoples rights and if youre going to correct someone use factual information. This is the most politically biased crock of s i have ever seen in my life. Breaking every law in the books and then telling everyone else theyre wrong just because they dont think the same. Waste of time and they are selling your info anyway.,2,"As a user, I want Facebook to ensure that content moderation is based on factual information and free from political bias, so that I can trust the platform to be fair and respectful of diverse opinions.","As a user concerned about censorship, factual accuracy, and data privacy, I want Facebook to stop infringing on people's rights and ensure that any corrections or fact-checks are based on factual information, not political bias. I believe the platform is extremely politically biased, breaks laws, and unfairly accuses others of being wrong simply for having different opinions. I consider it a waste of time and believe they are selling user information.","As a Facebook user,
I want content moderation to be unbiased and based on factual, transparent policies,
so that I can trust that my rights to free expression are respected and my personal data is protected."
Please take off the people you may know that are always so present on everyones pages. Literally I dont need your help advertising friends friends on my page. Its an absolute invasion of privacy. I dont care to see these people I dont want to know them. Please make it stop.,2,"As a user, I want the ability to disable or remove the ""People You May Know"" feature, so that my privacy is respected and I am not forced to see irrelevant or unwanted suggestions.","As a user, I want Facebook to remove the ""People You May Know"" suggestions from my page. I consider it an invasion of privacy and an unwanted advertisement of other people's connections. I don't want to see these suggestions and I want them to stop.","As a Facebook user,
I want the ability to disable or customize the ""People You May Know"" suggestions,
so that I can have more control over my privacy and avoid seeing unwanted recommendations."
How does a company this big not have a single person to contact about my account being hacked!!! The hacker has changed all of my log in information and help center is no help at all! I have had my account for over 15 years and my family and life is in that account! I need my account back!,2,"As a user, I want Facebook to provide a direct and effective way to contact support when my account is hacked, so that I can recover my account and protect my personal information.","As a user whose 15-year-old account was hacked, I want Facebook to provide a way to contact a real person regarding account recovery. The hacker has changed all my login information, and the help center is useless.  My life and family history are tied to this account, and I desperately need it back. I need access to actual support, not just automated help.","As a long-time Facebook user,
I want a direct and effective way to contact Facebook support when my account is hacked,
so that I can recover my account and personal data without frustration or delays."
"Was hacked a few ago and being trying to get my account back 
With no help from Facebook. Send infos that ask for still nothing ..they ask me for code generator I cant open my Facebook to get 
Anyone else has this issues ..??",2,"As a user, I want Facebook to simplify the account recovery process and provide clear instructions, so that I can regain access to my account even if I no longer have access to code generators or other security tools.","As a user whose account was hacked, I want Facebook to provide more effective support for account recovery. I've been trying to regain access for a while, but despite sending the requested information, I haven't received any help.  They're asking for a code generator, which I can't access because I can't open my Facebook account. I'm wondering if other users are experiencing similar issues and if there's a solution.","As a Facebook user whose account has been hacked,
I want a way to recover my account even if I can't access the Code Generator,
so that I can regain control of my account without unnecessary roadblocks."
"Ive gotten banned twice a month and I havent even used this app much to share my opinion like I used to. I got banned for sharing a motivational quote with a male chest showing working out followed by a ban for trying to sell a post pregnancy girdle. Its pathetic. Theres nothing you can do about it since you pay them with you private DATA, but have to accept their abuse without being able to appeal.",2,"As a user, I want Facebook to improve its content review and appeal process, so that I am not unfairly banned or censored for sharing legitimate content.","As a user, I'm frustrated by being banned twice in a month for seemingly minor infractions: sharing a motivational quote with a male chest (presumably in a workout context) and attempting to sell a post-pregnancy girdle. I believe these bans are unjustified. I'm also concerned about Facebook's use of my private data and the lack of a proper appeals process, leaving me with no recourse against these perceived abuses.","As a Facebook user,
I want a clear and fair moderation system that provides transparency on bans and allows for proper appeals,
so that I can understand why my content is removed and have a chance to dispute unjust bans"
"This app and company engages in censorship and supports the Israeli governments war crimes and genocide. I am thoroughly disgusted by Facebook. This company has a total lack of morality. No surprise tho given that they sell our info, and their company founder cheated his cofounder out of millions ",1,"As a user, I want Facebook to operate with transparency and ethical practices, so that I can trust the platform to respect user data and avoid supporting harmful actions or policies.","As a user concerned about censorship and human rights, I want Facebook to stop censoring content and to stop supporting what I consider to be war crimes and genocide by the Israeli government. I'm disgusted by Facebook's lack of morality, which I see as consistent with their history of selling user data and their founder's alleged unethical behavior towards his co-founder.","As a Facebook user,
I want the platform to uphold ethical standards by ensuring unbiased content moderation and transparency in its business practices,
so that I can trust that my data is handled responsibly and that diverse perspectives are not unfairly censored."
I do remember better days for Facebook. A time when it acted as versatile tool that could both monitor the kids and look for a used garden tools. Now its political  advertising and old people looking to mingle. The groups of Facebook are gone. For some reason the green thumb group just vanished one day. The gymnastics parents group just vanished one day. Facebook is a washed up old data base much like digging through and old box of paperwork at your xwives house. Goodbye.,2,"As a user, I want Facebook to restore its focus on community groups and versatile functionality, so that it remains a useful and engaging platform for connecting with others over shared interests.","As a long-time user, I want Facebook to return to its previous functionality and usefulness. I miss the time when it was a versatile tool for various purposes, like monitoring my children's online activity and finding items in local groups. Now, it's primarily filled with political ads and people looking for romantic connections.  The groups I relied on, like the ""Green Thumb"" and ""Gymnastics Parents"" groups, have mysteriously disappeared.  I feel Facebook has become an outdated and irrelevant platform, much like sifting through old paperwork. I'm leaving the platform.","As a long-time Facebook user,
I want the platform to focus on restoring and maintaining community groups, reducing intrusive political ads, and improving usability,
so that I can reconnect with interest-based communities, find relevant local content, and use Facebook as a versatile tool rather than an outdated, ad-heavy platform."
"Facebook be constantly spying on my google searches, censoring my post, censoring the post I see. They update the app constantly and then my preferences change and I get 30 notifications that arent relevant.",1,"As a user, I want Facebook to stop spying on my external activity and respect my privacy settings, so that my preferences are not overridden by constant updates or irrelevant notifications.","As a user concerned about privacy and censorship, I want Facebook to stop spying on my Google searches and censoring both the posts I make and the posts I see in my feed. I'm also frustrated by the constant app updates that change my preferences without my consent and flood me with irrelevant notifications.","As a Facebook user,
I want greater control over my privacy settings and notifications,
so that I can protect my personal data, customize my feed and notifications, and ensure that the app respects my preferences without constantly changing them or spamming me with irrelevant alerts."
"My account just hacked by a unknown user and I tried to proof Im the real user by my passport but you guys said that doesnt help... if a passport cant proof my identity, then what can I do? You want my DNA or something? By the way, theres no customer help number that I could call. Now Facebook became a free information reference for any hackers right now? What a shame....",1,"As a user, I want Facebook to accept government-issued identification like passports as valid proof of identity, so that I can recover my account when hacked without unnecessary hurdles.","As a user whose account was hacked, I want Facebook to provide a more effective account recovery process. I attempted to verify my identity using my passport, but Facebook rejected it as insufficient proof. I'm asking what *would* be considered sufficient proof if a passport isn't acceptable.  I'm also frustrated by the lack of a customer support phone number. I'm concerned that Facebook's security vulnerabilities are making it easy for hackers to access and exploit user accounts.","As a Facebook user,
I want a reliable and accessible account recovery process,
so that I can regain access to my account if it's hacked without unnecessary obstacles or rejections."
"They will go out of their way to silence anything  to benefit their personal political views, no freedom of speech here better platforms would be Tik tok . . I have had pictures and videos removed for no reason only because I stand in solidarity for human rights in Palestine and the owners of Facebook are 100 is really Zionist that oppose the movement and they will silence anyone who doesnt fit the narrative",2,"As a user, I want Facebook to provide a reliable customer support hotline, so that I can quickly resolve issues like account hacking and feel secure using the platform.","As a user concerned about censorship and political bias, I want Facebook to stop silencing viewpoints that don't align with the platform's perceived political agenda. I believe there is no freedom of speech on Facebook, and I've had my content removed for supporting human rights in Palestine. I suspect the platform's owners are biased against this movement and are actively suppressing dissenting opinions. I believe other platforms, like TikTok, offer more freedom of expression.","As a Facebook user,
I want a fair and unbiased content moderation system,
so that my posts are not removed or censored based on political or ideological biases."
"I can not log in to my account on the app because it claims I have no internet service, which is crap! I can do everything else on my phone! I also can not even access Facebooks page on Safari or Chrome! The pages literally will not open. I did everything suggested, still nothing!",2,"As a user, I want to be able to log in to my account on the app without false ""no internet service"" errors so I can access Facebook seamlessly.","As a user, I want the Facebook app to function properly and allow me to log in.  The app incorrectly claims I have no internet connection, even though other apps and services work fine on my phone.  Furthermore, I can't access the Facebook website through Safari or Chrome either; the pages simply won't load. I've tried all suggested troubleshooting steps, but the problem persists.","As a Facebook user,
I want the app and website to function properly across different devices and internet connections,
so that I can access my account without unnecessary login issues or false internet connectivity errors."
